"País","Inscripción Escolar","Desempleo","Maestros Capacitados","Poblacion Activa"
"Afganistán",103.996162414551,11.0570001602173,11.0570001602173,10334090
"África al sur del Sahara",98.56087,6.15941513642456,6.15941513642456,414655622
"África al sur del Sahara (BIRF y la AIF)",98.56087,6.15941513642456,6.15941513642456,414655622
"África al sur del Sahara (excluido altos ingresos)",98.5595,6.15868356147524,6.15868356147524,414046869
"Albania",106.993423461914,12.3400001525879,12.3400001525879,1318022
"Alemania",103.894561767578,3.3840000629425,3.3840000629425,43560137
"América del Norte",101.278,4.10784865533161,4.10784865533161,185827935
"América Latina y el Caribe",108.7282,7.95434022352442,7.95434022352442,309038087
"América Latina y el Caribe (BIRF y la AIF)",108.9413,8.05308790741648,8.05308790741648,302446925
"América Latina y el Caribe (excluido altos ingresos)",109.1723,8.00869729934244,8.00869729934244,293707403
"Arabia Saudita",99.7698974609375,6.03999996185303,6.03999996185303,14019589
"Argelia",109.882820129395,11.8819999694824,11.8819999694824,12173459
"Armenia",92.7152481079102,17.496000289917,17.496000289917,1303093
"Asia meridional",99.5641,5.05969096083991,5.05969096083991,664696955
"Asia meridional (BIRF y la AIF)",99.5641,5.05969096083991,5.05969096083991,664696955
"Asia oriental y el Pacífico",102.0743,3.78843549920883,3.78843549920883,1263544716
"Asia oriental y el Pacífico (BIRF y la AIF)",102.4399,3.86954435072767,3.86954435072767,1113997845
"Asia oriental y el Pacífico (excluido altos ingresos)",102.3083,3.85276904887783,3.85276904887783,1130393843
"Australia",100.160591125488,5.2979998588562,5.2979998588562,13254463
"Austria",103.316848754883,4.84800004959106,4.84800004959106,4601213
"avanzada del dividendo demográfico",102.6456,5.059451446344,5.059451446344,1240119998
"Azerbaiyán",99.7220993041992,4.90000009536743,4.90000009536743,5091052
"Bahamas",81.3611679077148,10,10,223064
"Bahrein",99.3630523681641,0.649999976158142,0.649999976158142,926959
"Bangladesh",116.466339111328,4.2810001373291,4.2810001373291,68791250
"Barbados",99.3513488769531,9.38500022888184,9.38500022888184,155314
"Belarús",100.500213623047,4.76000022888184,4.76000022888184,5087320
"Bélgica",103.350700378418,5.94799995422363,5.94799995422363,5089752
"Belice",111.696876525879,6.51200008392334,6.51200008392334,173515
"Benin",121.958251953125,2.38599991798401,2.38599991798401,4678297
"Bhután",100.139678955078,2.30299997329712,2.30299997329712,371964
"BIRF y la AIF",101.1766,5.47006097700128,5.47006097700128,2824662521
"Bolivia",98.1509170532227,3.53399991989136,3.53399991989136,5631725
"Brunei Darussalam",103.15161895752,8.86200046539307,8.86200046539307,214427
"Bulgaria",87.4422073364258,5.21099996566772,5.21099996566772,3327614
"Burkina Faso",96.0903701782227,6.0939998626709,6.0939998626709,7238229
"Burundi",121.421562194824,1.44799995422363,1.44799995422363,4822373
"Cabo Verde",104.027969360352,12.1700000762939,12.1700000762939,233404
"Camboya",107.414848327637,0.65200001001358,0.65200001001358,9191221
"Camerún",103.402122497559,3.35700011253357,3.35700011253357,11023646
"Canadá",101.501091003418,5.83099985122681,5.83099985122681,20344918
"Chad",89.7342834472656,1.83800005912781,1.83800005912781,5788876
"Chile",102.179222106934,7.23299980163574,7.23299980163574,9391133
"China",100.222747802734,4.27600002288818,4.27600002288818,783424134
"Chipre",99.7954406738281,8.36999988555908,8.36999988555908,625713
"Colombia",114.526657104492,9.11100006103516,9.11100006103516,26229069
"Comoras",99.5066299438477,4.30200004577637,4.30200004577637,217181
"Congo, República Democrática del",118.459609985352,4.19299983978271,4.19299983978271,28829943
"Corea, República de",99.6097793579102,3.84800004959106,3.84800004959106,28272711
"Corea, República Popular Democrática de",89.3164215087891,2.71300005912781,2.71300005912781,16395998
"Costa Rica",113.294288635254,9.63199996948242,9.63199996948242,2445858
"Côte d'Ivoire",99.7997512817383,3.21000003814697,3.21000003814697,8294855
"Croacia",94.6030502319336,8.43200016021729,8.43200016021729,1794730
"Cuba",101.90454864502,1.70000004768372,1.70000004768372,5098886
"Dinamarca",100.523910522461,4.97499990463257,4.97499990463257,3014756
"Djibouti",70.2976913452148,10.2569999694824,10.2569999694824,406696
"Ecuador",103.267951965332,3.52999997138977,3.52999997138977,8365114
"Egipto, República Árabe de",106.284927368164,11.5920000076294,11.5920000076294,30177778
"El mundo árabe",95.54203,10.5633442612973,10.5633442612973,135265885
"El Salvador",94.8271102905273,4.00600004196167,4.00600004196167,2757089
"Eslovenia",102.062217712402,5.10799980163574,5.10799980163574,1037571
"España",101.989349365234,15.2550001144409,15.2550001144409,23065037
"Estados pequeos de las Islas del Pacfico",108.2748,3.01339653993249,3.01339653993249,904506
"Estados pequeos del Caribe",98.59672,8.37281178655369,8.37281178655369,3377342
"Estados Unidos",101.256561279297,3.89599990844727,3.89599990844727,165483017
"Estonia",97.6676864624023,5.36600017547607,5.36600017547607,705816
"Eswatini",114.693618774414,22.3610000610352,22.3610000610352,367535
"Europa Central y del Báltico",95.26243,4.31245210198227,4.31245210198227,49724200
"Europa y Asia central",100.8571,6.90387443217565,6.90387443217565,439253877
"Europa y Asia central (BIRF y la AIF)",98.8625,6.70027442319067,6.70027442319067,213192783
"Europa y Asia central (excluido altos ingresos)",99.66861,7.09256021215098,7.09256021215098,183951849
"Federación de Rusia",104.678817749023,4.84600019454956,4.84600019454956,73825998
"Filipinas",101.86222076416,2.33800005912781,2.33800005912781,43864623
"Finlandia",100.205108642578,7.36100006103516,7.36100006103516,2742737
"Frágiles y situaciones de conflicto afectados",94.41408,6.91443485578386,6.91443485578386,268284291
"Francia",102.874000549316,9.05900001525879,9.05900001525879,30391825
"Gambia",98.0143814086914,9.02700042724609,9.02700042724609,752678
"Georgia",98.6308364868164,13.7849998474121,13.7849998474121,2040890
"Ghana",103.568466186523,4.15700006484985,4.15700006484985,12611514
"Grecia",99.3664321899414,19.2919998168945,19.2919998168945,4804346
"Guatemala",101.902618408203,2.40199995040894,2.40199995040894,6680520
"Hong Kong, Región Administrativa Especial",108.617668151855,2.90300011634827,2.90300011634827,3964816
"Hungría",96.7604827880859,3.70799994468689,3.70799994468689,4731877
"Indonesia",106.410820007324,4.51100015640259,4.51100015640259,132737405
"Ingreso alto",101.0169,5.07433946914635,5.07433946914635,623428375
"Ingreso mediano",101.0949,5.52063337936941,5.52063337936941,2550392604
"Ingreso mediano alto",103.1875,5.81179200643666,5.81179200643666,1457680427
"Ingreso mediano y bajo",101.1842,5.4628869150898,5.4628869150898,2803683433
"inicial del dividendo demográfico",102.0029,5.68986989452834,5.68986989452834,1281960644
"Irlanda",101.03288269043,5.73999977111816,5.73999977111816,2385556
"Islandia",100.439910888672,2.7039999961853,2.7039999961853,212899
"Islas Salomón",106.206489562988,0.617999970912933,0.617999970912933,327185
"Israel",104.688430786133,3.99799990653992,3.99799990653992,4102822
"Italia",101.247947692871,10.6099996566772,10.6099996566772,26034264
